,noon,night,충전소 수
강동구,260045.98669021463,295823.71497829544,285
송파구,469660.4217292298,471872.3002786364,540
강남구,664934.5190790404,465326.9255693183,660
서초구,450708.84694902145,342209.4236128031,751
관악구,278161.474542298,336942.0934919507,254
동작구,223512.35278749999,257178.35933193183,307
영등포구,359691.29356657196,288125.14591494313,421
금천구,165505.49327623105,139008.25791304925,365
구로구,245558.02747354796,247917.42553577654,495
강서구,315460.6672533144,343064.18292943184,609
양천구,205671.0553622475,237640.73836814394,441
마포구,320858.94801256317,296109.04685318185,449
서대문구,233732.40565123103,222290.1150944697,269
은평구,219420.55995656567,271271.55080149625,354
노원구,263608.3386864583,306541.47909179924,406
도봉구,142342.89839453914,169133.76726732953,234
강북구,151471.62568162882,179337.62123954546,152
성북구,224584.2078267361,253082.82012649617,460
중랑구,189196.01231480428,225969.49981039768,340
동대문구,212205.68047796717,216309.46493011358,371
광진구,220378.27520353533,245415.26214518936,170
성동구,224501.54587146465,215813.10213840907,501
용산구,214198.6892987374,183020.0391193182,339
중구,294966.8847753472,155151.70840107955,292
종로구,260807.42549577018,162577.50828304925,196
